radionetworkregistrationbalisegroup	Radionetworkregistrationbalisegroup
sessionbalisegroup	Sessionbalisegroup
leveltransitionannouncementbalisegroupentry	Leveltransitionannouncementbalisegroupentry
leveltransitionannouncementbalisegroupexit	Leveltransitionannouncementbalisegroupexit
entryborderbalisegroup	Entryborderbalisegroup
exitborderbalisegroup	Exitborderbalisegroup
sessionterminationbalisegroup	Sessionterminationbalisegroup
stopifinstaffresponsiblebalisegroup	Stopifinstaffresponsiblebalisegroup
stopifinshuntingbalisegroup	Stopifinshuntingbalisegroup
nrbcborderbalisegroup	NRBCborderbalisegroup
defaultgradientbalisegroup	Defaultgradientbalisegroup
positioningbalisegroup	Positioningbalisegroup
operationalversionorder	Operationalversionorder
nationalvalues	Nationalvalues
nrbctransitionannouncementbalisegroup	NRBCtransitionannouncementbalisegroup
shuntingyardindicator	Shuntingyardindicator
bigmetalmassannouncementbalisegroup	Bigmetalmassannouncementbalisegroup
conditionalleveltransitionordercltotol2	ConditionalLevelTransitionorderCLTOtoL2
